Bill #,State,Session,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text
HB 1141,Washington,2023-2024 Regular Session,Making 2021-2023 fiscal biennium second supplemental operating appropriations.,Jan 05 2023,Scheduled For Public Hearing In The House Committee On Appropriations At 04:00 Pm,Jan 11 2023,https://openstates.org/wa/bills/2023-2024/HB1141/,Timm Ormsby,Mia Gregerson; Nicole Macri; Debra Lekanoff; Steve Bergquist,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/House%20Bills/1141.htm
A 944,New York,2023 Regular Session,Establishes certain offenses relating to crypto fraud,Jan 11 2023,Referred To Codes,Jan 11 2023,https://openstates.org/ny/bills/2023-2024/A944/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A944&term=2023&Text=Y
A 954,New York,2023 Regular Session,Establishes the New York state cryptocurrency and blockchain study task force,Jan 11 2023,Referred To Banks,Jan 11 2023,https://openstates.org/ny/bills/2023-2024/A954/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A954&term=2023&Text=Y
A 954,New York,2023 Regular Session,Establishes the New York state cryptocurrency and blockchain study task force,Jan 11 2023,Referred To Banks,Jan 11 2023,https://openstates.org/ny/bills/2023-2024/A954/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A954&term=2023&Text=Y
SB 5188,Washington,2023-2024 Regular Session,Making 2021-2023 fiscal biennium second supplemental operating appropriations.,Jan 06 2023,Scheduled For Public Hearing In The Senate Committee On Ways & Means At 04:00 Pm,Jan 10 2023,https://openstates.org/wa/bills/2023-2024/SB5188/,Christine Rolfes,June Robinson; Joe Nguyen,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/Senate%20Bills/5188.htm
HB 5427,Illinois,102nd Regular Session,Discovery Of Digital Assets,Jan 28 2022,Session Sine Die,Jan 10 2023,https://openstates.org/il/bills/102nd/HB5427/,Deanne M. Mazzochi,,https://ilga.gov/legislation/fulltext.asp?DocName=10200HB5427&GA=102&SessionId=110&DocTypeId=HB&LegID=139947&DocNum=5427&GAID=16&SpecSess=&Session=&print=true
SB 3643,Illinois,102nd Regular Session,Dceo-Data Center-Crypto Mining,Jan 21 2022,Session Sine Die,Jan 10 2023,https://openstates.org/il/bills/102nd/SB3643/,Sue Rezin,John F. Curran,https://ilga.gov/legislation/fulltext.asp?DocName=10200SB3643&GA=102&SessionId=110&DocTypeId=SB&LegID=138638&DocNum=3643&GAID=16&SpecSess=&Session=&print=true
SB 3435,Illinois,102nd Regular Session,Special Purpose Trust Company,Jan 18 2022,Session Sine Die,Jan 10 2023,https://openstates.org/il/bills/102nd/SB3435/,Laura Ellman,,https://ilga.gov/legislation/fulltext.asp?DocName=10200SB3435&GA=102&SessionId=110&DocTypeId=SB&LegID=138340&DocNum=3435&GAID=16&SpecSess=&Session=&print=true
HB 5287,Illinois,102nd Regular Session,Idor-Cryptocurrency,Jan 27 2022,Session Sine Die,Jan 10 2023,https://openstates.org/il/bills/102nd/HB5287/,Ram Villivalam,"Michael J. Zalewski; Jaime M. Andrade, Jr.; Mark L. Walker; Mark Batinick",https://ilga.gov/legislation/fulltext.asp?DocName=10200HB5287eng&GA=102&SessionId=110&DocTypeId=HB&LegID=139797&DocNum=5287&GAID=16&SpecSess=&Session=&print=true
S 360,New York,2023 Regular Session,Requires certain disclosures in advertisements involving virtual tokens,Jan 04 2023,Referred To Banks,Jan 04 2023,https://openstates.org/ny/bills/2023-2024/S360/,Kevin Thomas,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S360&term=2023&Text=Y
S 359,New York,2023 Regular Session,Establishes certain offenses relating to crypto fraud,Jan 04 2023,Referred To Codes,Jan 04 2023,https://openstates.org/ny/bills/2023-2024/S359/,Kevin Thomas,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S359&term=2023&Text=Y
PR 24-0996,District of Columbia,24th Council Period (2021-2022),"District of Columbia Board of Elections James Caleb Boggs, III Confirmation Resolution of 2022",Oct 21 2022,Approved With Resolution Number R24-0725,Dec 20 2022,https://openstates.org/dc/bills/24/PR24-0996/,Phil Mendelson,,https://lims.dccouncil.gov/downloads/LIMS/51496/Introduction/PR24-0996-Introduction.pdf
SB 5544,Washington,2021-2022 Regular Session,Establishing the Washington blockchain work group.,Jan 10 2022,Prefiled For Introduction.,Dec 15 2022,https://openstates.org/wa/bills/2021-2022/SB5544/,Sharon Brown,Perry Dozier; David Frockt; Bob Hasegawa; Mark Mullet; Christine Rolfes; Shelly Short; Keith Wagoner; Lisa Wellman; L. Wilson,http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bills/Senate%20Bills/5544.htm
SB 5534,Washington,2021-2022 Regular Session,Concerning the use of verifiable credentials.,Jan 10 2022,Prefiled For Introduction.,Dec 13 2022,https://openstates.org/wa/bills/2021-2022/SB5534/,Sharon Brown,Keith Wagoner,http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bills/Senate%20Bills/5534.htm
A 9275,New York,2021 Regular Session,Establishes the New York state cryptocurrency and blockchain study task force,Feb 09 2022,Tabled,Nov 23 2022,https://openstates.org/ny/bills/2021-2022/A9275/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A9275&term=2021&Text=Y
A 7389,New York,2021 Regular Session,Establishes a moratorium on cryptocurrency mining operations that use proof-of-work authentication methods to validate blockchain transactions,May 06 2021,Approval Memo.26,Nov 22 2022,https://openstates.org/ny/bills/2021-2022/A7389/,Dr. Anna R. Kelles,"Donna A. Lupardo; Steve Englebright; Fred W. Thiele, Jr.; Deborah J. Glick; William B. Magnarelli; Harvey Epstein; Chris Burdick; Phil Steck; RIVERA JD; Sarah Clark; Yuh-Line Niou; Patricia Fahy; Monica P. Wallace; Didi Barrett; Robert C. Carroll; Linda B. Rosenthal; Rebecca A. Seawright; Emily Gallagher; Jessica González-Rojas; Carmen N. De La Rosa; Pat Burke; Victor M. Pichardo; Al Stirpe; Zohran K. Mamdani; Jo Anne Simon; Judy Griffin; Khaleel M. Anderson; Karen McMahon; Marcela Mitaynes; Steven Otis; John T. McDonald III; Richard N. Gottfried; Sandy Galef; Jeffrey Dinowitz; J. Gary Pretlow; Amy Paulin; Phara Souffrant Forrest; Stefani Zinerman; Gina L. Sillitti; Kenneth Zebrowski; Dan Quart; Kenny Burgos; Rodneyse Bichotte Hermelyn; Thomas J. Abinanti; Jonathan G. Jacobson; Charles D. Lavine; Nader J. Sayegh; William Colton; Catalina Cruz",http://legislation.nysenate.gov/pdf/bills/2021/A7389C
SB 712,Virginia,2023 Regular Session,"Regulatory Innovation, Department of, and Virginia Regulatory Sandbox Program; created, report.",Jan 21 2022,Left In Finance And Appropriations,Nov 21 2022,https://openstates.org/va/bills/2023/SB712/,"William M. Stanley, Jr.",,https://lis.virginia.gov/cgi-bin/legp604.exe?231+ful+SB712
RC 527,Puerto Rico,2021-2024 Session,"Para ordenar a la Comisión de Gobierno de la Cámara de Representantes del Estado Libre Asociado de Puerto Rico realizar una investigación que ausculte el concepto de sistema en bloque (blockchain) para el sistema de almacenamiento gubernamental, así como la aprobación de la utilización de monedas digitales (criptomonedas) como método de pago aceptable en Puerto Rico; y para otros fines relacionados.",Sep 14 2021,Cuerpo Aprueba Informe Final Rendido,Nov 14 2022,https://openstates.org/pr/bills/2021-2024/RC527/,Rafael Hernández Montañez,,https://sutra.oslpr.org/osl/SUTRA/anejos/139737/RC0527-if.docx
A 3288,New Jersey,2022-2023 Regular Session,Establishes Blockchain Promotion and Integration Program.,Mar 07 2022,"Received In The Senate, Referred To Senate Economic Growth Committee",Nov 03 2022,https://openstates.org/nj/bills/220/A3288/,Yvonne Lopez,Joe Danielsen; Linda S. Carter,https://pub.njleg.state.nj.us/Bills/2022/A3500/3288_R1.HTM
A 1975,New Jersey,2022-2023 Regular Session,"""Virtual Currency and Blockchain Regulation Act.""",Jan 11 2022,"Received In The Senate, Referred To Senate Commerce Committee",Nov 03 2022,https://openstates.org/nj/bills/220/A1975/,Yvonne Lopez,,https://pub.njleg.state.nj.us/Bills/2022/A2000/1975_R2.HTM
H 5034,Massachusetts,192nd Legislature (2021-2022),An Act relating to economic growth and relief for the commonwealth,Jul 14 2022,Reported By H5374,Nov 02 2022,https://openstates.org/ma/bills/192nd/H5034/,,House Committee on Ways and Means,https://malegislature.gov/Bills/192/H5034.pdf
H 4922,Massachusetts,192nd Legislature (2021-2022),An Act relative to workforce training,Jun 16 2022,Bill Reported Favorably By Committee And Referred To The Committee On House Ways And Means,Nov 02 2022,https://openstates.org/ma/bills/192nd/H4922/,,Josh S. Cutler; Kate Lipper-Garabedian,https://malegislature.gov/Bills/192/H4922.pdf
H 1094,Massachusetts,192nd Legislature (2021-2022),An Act establishing a rideshare driver bill of rights,Mar 29 2021,"Accompanied A Study Order, See H5312",Oct 06 2022,https://openstates.org/ma/bills/192nd/H1094/,Denise C. Garlick,William J. Okerman,https://malegislature.gov/Bills/192/H1094.pdf
S 3142,New Jersey,2022-2023 Regular Session,Establishes Blockchain Promotion and Integration Program.,Oct 03 2022,"Introduced In The Senate, Referred To Senate Commerce Committee",Oct 03 2022,https://openstates.org/nj/bills/220/S3142/,Andrew Zwicker,,https://pub.njleg.state.nj.us/Bills/2022/S3500/3142_I1.HTM
SB 786,California,2021-2022 Regular Session,"County birth, death, and marriage records: blockchain.",Feb 19 2021,"Chaptered By Secretary Of State. Chapter 704, Statutes Of 2022.",Sep 28 2022,https://openstates.org/ca/bills/20212022/SB786/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202120220SB786&version=20210SB78692CHP
S 440,Massachusetts,192nd Legislature (2021-2022),An Act to allow electronic and blockchain signatures on nomination papers,Mar 29 2021,"Accompanied A Study Order, See H5026",Sep 12 2022,https://openstates.org/ma/bills/192nd/S440/,William N. Brownsberger,Walter Ziobro,https://malegislature.gov/Bills/192/S440.pdf
SB 638,California,2021-2022 Regular Session,Employment: personal social media of applicant or employee.,Feb 19 2021,Ordered To Inactive File On Request Of Assembly Member Reyes.,Aug 31 2022,https://openstates.org/ca/bills/20212022/SB638/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202120220SB638&version=20210SB63896AMD
H 103,Massachusetts,192nd Legislature (2021-2022),An Act relative improving voting systems and expanding accessibility,Mar 29 2021,"Accompanied A Study Order, See H5040",Aug 29 2022,https://openstates.org/ma/bills/192nd/H103/,Nicholas A. Boldyga,,https://malegislature.gov/Bills/192/H103.pdf
PC 1425,Puerto Rico,2021-2024 Session,"Para crear la “Ley para Promover la Innovación de Productos y Servicios de Blockchain de Puerto Rico”; a los fines de establecer la política pública y regulación de las nuevas tecnologías en el sector de servicios financieros; para añadir los incisos (p), (q), (r), (s), (t), (u), (v), (w), (x), (y), (z), (aa), (bb), (cc), (dd), (ee), (ff), (gg), (hh) e (ii) al Artículo 2, añadir un inciso (d) al Artículo 12 y añadir un nuevo Artículo 8A a la Ley Núm. 273-2012, según enmendada, conocida como la “Ley Reguladora del Centro Financiero Internacional”; a los fines de agregar definiciones, establecer los criterios y el proceso para que una entidad financiera internacional sea designada y certificada como entidad con licencia especial autorizada para realizar actividades de tecnología financiera autorizadas, enumerar las actividades autorizadas de tecnología financiera que pueda realizar una entidad financiera internacional designada y certificada como entidad con licencia especial; añadir los incisos (aa) y (bb) a la Sección 1.2 y añadir una Sección 3.7A a la Ley Núm. 136 - 2010, según enmendada, mejor conocida como la “Ley para Regular los Negocios de Servicios Monetarios”, a los fines de añadir definiciones para los términos “transferencia de moneda” y “moneda virtual convertible” y otros; establecer requisitos en materia de la custodia digital de monedas virtuales sujetas a la transmisión de moneda; enmendar el inciso (l) y añadir los incisos (x) y (y) al Artículo 100 de la Ley Núm. 60 de 18 de junio de 1963, según enmendada, mejor conocida como la “Ley Uniforme de Valores”, a los fines de enmendar la definición de “valor” y añadir las definiciones de “activo digital” e “instrumentos digitales cubiertos”; añadir un sub-inciso (11) al inciso (A) del Artículo 13.05 de la Ley Núm. 164-2009, según enmendada, conocida como la “Ley General de Corporaciones”, a los fines de añadir actividades que no constituyen transacciones de negocio en el Estado Libre Asociado de Puerto Rico; autorizar a cualquier agencia, instrumento público, corporación pública, subdivisión política y/o municipio del Estado Libre Asociado de Puerto Rico a recibir el pago de derechos o dineros que se le adeuden en forma de criptomonedas que sean monedas estables; crear las cajas de arena de tecnología financiera (“innovation sandbox”) para la prueba de productos y servicios financieros en el Estado Libre Asociado de Puerto Rico; autorizar limitadas exenciones de estatutos y reglas específicas bajo ciertas condiciones; establecer estándares y procedimientos para las solicitudes, las operaciones y la supervisión de las cajas de arena; autorizar acuerdos de reciprocidad con otros reguladores; exigir verificaciones de antecedentes penales; crear una cuenta; exigir un bono de protección al consumidor; especificar los estándares para la suspensión y revocación de la autorización de las cajas de arena; autorizar reglas y órdenes; proporcionar fechas efectivas; añadir un inciso (c) al artículo 18 de la Ley Núm. 4 de 10 de octubre de 1985, según enmendada, conocida como la “Ley de la Oficina del Comisionado de Instituciones Financieras”; y para otros fines relacionados.",Jul 25 2022,Referido A Comisión(Es),Aug 15 2022,https://openstates.org/pr/bills/2021-2024/PC1425/,Eddie Charbonier Chinea,,https://sutra.oslpr.org/osl/SUTRA/anejos/141612/PC1425.docx
AB 2781,California,2021-2022 Regular Session,Office of Digital Innovation: blockchain technology study: employment claims.,Feb 18 2022,In Committee: Held Under Submission.,Aug 11 2022,https://openstates.org/ca/bills/20212022/AB2781/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202120220AB2781&version=20210AB278198AMD
S 3030,Massachusetts,192nd Legislature (2021-2022),Amendment S.3030,Jul 21 2022,See H5034,Jul 21 2022,https://openstates.org/ma/bills/192nd/S3030/,,Senate Committee on Ways and Means,https://malegislature.gov/Bills/192/S3030.pdf
S 3018,Massachusetts,192nd Legislature (2021-2022),Amendment S.3018,Jul 18 2022,Recommended New Text For H5034,Jul 18 2022,https://openstates.org/ma/bills/192nd/S3018/,Senate Committee on Ways and Means,,https://malegislature.gov/Bills/192/S3018.pdf
H 5007,Massachusetts,192nd Legislature (2021-2022),An Act relating to economic growth and relief for the commonwealth,Jul 11 2022,"Published As Amended, See H5034",Jul 14 2022,https://openstates.org/ma/bills/192nd/H5007/,House Committee on Ways and Means,,https://malegislature.gov/Bills/192/H5007.pdf
H 4864,Massachusetts,192nd Legislature (2021-2022),"An Act investing in future opportunities for resiliency, workforce, and revitalized downtowns",Jun 13 2022,"New Draft Substituted, See H5007",Jul 11 2022,https://openstates.org/ma/bills/192nd/H4864/,Joint Committee on Economic Development and Emerging Technologies,Charles D. Baker,https://malegislature.gov/Bills/192/H4864.pdf
H 4977,Massachusetts,192nd Legislature (2021-2022),"An Act investing in future opportunities for resiliency, workforce, and revitalized downtowns",Jul 05 2022,Rejected,Jul 11 2022,https://openstates.org/ma/bills/192nd/H4977/,"Joint Committee on Bonding, Capital Expenditures and State Assets",,https://malegislature.gov/Bills/192/H4977.pdf
HB 2204,Arizona,Fifty-fifth Legislature,technical correction; wage board; powers,Feb 10 2022,Signed By Governor,Jul 06 2022,https://openstates.org/az/bills/55th-2nd-regular/HB2204/,Jeff Weninger,,https://www.azleg.gov/legtext/55leg/2R/adopted/S.2204FLOORLIVINGSTON2.docx.htm
SB 2794,Rhode Island,2022 Regular Session,AN ACT RELATING TO FINANCIAL INSTITUTIONS -- CREATION AND EXPANSION (Amends a number of provisions in the general laws relative to financial institutions by eliminating unnecessary requirements and/or clarifying language in order to reduce certain burdens on businesses operating in Rhode Island.),Mar 24 2022,06/29/2022 Signed By Governor,Jun 29 2022,https://openstates.org/ri/bills/2022/SB2794/,V. Susan Sosnowski,,http://webserver.rilin.state.ri.us/BillText/BillText22/SenateText22/S2794.pdf
HB 7781,Rhode Island,2022 Regular Session,AN ACT RELATING TO FINANCIAL INSTITUTIONS -- CREATION AND EXPANSION (Amends a number of provisions in the general laws relative to financial institutions by eliminating unnecessary requirements and/or clarifying language in order to reduce certain burdens on businesses operating in Rhode Island.),Mar 03 2022,06/29/2022 Signed By Governor,Jun 29 2022,https://openstates.org/ri/bills/2022/HB7781/,"Joseph J. Solomon, Jr.",,http://webserver.rilin.state.ri.us/BillText/BillText22/HouseText22/H7781A.pdf
